id,list_time,type_real_estate,ward,area,region,address,property_status,price_m2,direction,balconydirection,property_legal_document,size,floornumber,apartment_type,furnishing_sell,apartment_feature,rooms,toilets,floors,house_type,living_size,width,length,land_type,property_road_condition,land_feature,property_back_condition,price
88230747,1634797919495,Căn hộ/Chung cư,Phường 12,Quận 10,Tp Hồ Chí Minh,"Số 181, Số 181 Đường Cao Thắng, Phường 12, Quận 10, Tp Hồ Chí Minh",Đã bàn giao,40 triệu/m²,,,,35 m²,,Officetel,,,1 phòng,1 phòng,,,,,,,,,,1400000000
88858972,1634797733000,Căn hộ/Chung cư,Phường Tăng Nhơn Phú A,Quận 9,Tp Hồ Chí Minh,"Đường Man Thiện, Phường Tăng Nhơn Phú A, Quận 9, Tp Hồ Chí Minh",Đã bàn giao,"27,63 triệu/m²",,,Đã có sổ,76 m²,,Chung cư,Nội thất đầy đủ,,2 phòng,1 phòng,,,,,,,,,,2100000000
88858748,1634797243000,Căn hộ/Chung cư,Xã Bình Chánh,Huyện Bình Chánh,Tp Hồ Chí Minh,"Đường Nguyễn Văn Linh, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh",Đã bàn giao,"30,39 triệu/m²",,,Đang chờ sổ,51 m²,15,Chung cư,Hoàn thiện cơ bản,,2 phòng,2 phòng,,,,,,,,,,1550000000
88858643,1634797015000,Căn hộ/Chung cư,Phường Phú Mỹ,Quận 7,Tp Hồ Chí Minh,"Đường Hoàng Quốc Việt, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh",Đã bàn giao,"45,45 triệu/m²",Nam,Bắc,Đang chờ sổ,55 m²,,Chung cư,Nội thất đầy đủ,,2 phòng,1 phòng,,,,,,,,,,2500000000
80888968,1634796148405,Căn hộ/Chung cư,Phường Tân Hưng,Quận 7,Tp Hồ Chí Minh,"Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",Đã bàn giao,"43,33 triệu/m²",,,Đã có sổ,120 m²,,Chung cư,Nội thất cao cấp,Căn góc,3 phòng,2 phòng,,,,,,,,,,5200000000
88857645,1634795549000,Căn hộ/Chung cư,Phường Hiệp Bình Chánh,Quận Thủ Đức,Tp Hồ Chí Minh,"đường số 10, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh",Đã bàn giao,"54,02 triệu/m²",Đông Bắc,Đông Nam,Đang chờ sổ,87 m²,15,Chung cư,Nội thất cao cấp,Căn góc,3 phòng,2 phòng,,,,,,,,,,4700000000
88857370,1634795214000,Căn hộ/Chung cư,Phường Long Thạnh Mỹ,Quận 9,Tp Hồ Chí Minh,"VINHOMES GRAND PARK, Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",Đã bàn giao,"37,38 triệu/m²",,,Đang chờ sổ,61 m²,,Chung cư,Nội thất đầy đủ,,2 phòng,1 phòng,,,,,,,,,,2280000000
88550183,1634795041810,Căn hộ/Chung cư,Phường Trung Mỹ Tây,Quận 12,Tp Hồ Chí Minh,"Đường Quốc lộ 1A, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh",Đã bàn giao,25 triệu/m²,,,Đã có sổ,74 m²,,Chung cư,Nội thất cao cấp,Căn góc,2 phòng,2 phòng,,,,,,,,,,1850000000
78553221,1634793749188,Căn hộ/Chung cư,Phường Tân Hưng,Quận 7,Tp Hồ Chí Minh,"Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",Đã bàn giao,"39,62 triệu/m²",,,Đã có sổ,106 m²,,Chung cư,Nội thất đầy đủ,Căn góc,2 phòng,2 phòng,,,,,,,,,,4200000000
88856446,1634793547000,Căn hộ/Chung cư,Phường Tân Hưng,Quận 7,Tp Hồ Chí Minh,"Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",Đã bàn giao,"47,58 triệu/m²",,,,62 m²,,Chung cư,,,2 phòng,2 phòng,,,,,,,,,,2950000000
