id,list_time,type_real_estate,ward,area,region,address,property_status,price_m2,direction,balconydirection,property_legal_document,size,floornumber,apartment_type,furnishing_sell,apartment_feature,rooms,toilets,floors,house_type,living_size,width,length,land_type,property_road_condition,land_feature,property_back_condition,price
89192963,1635904232171,Đất,Thị trấn Trảng Bom,Huyện Trảng Bom,Đồng Nai,"Đường Phùng Hưng, Thị trấn Trảng Bom, Huyện Trảng Bom, Đồng Nai",,10 triệu/m2,,,Đã có sổ,100 m2,,,,,,,,,,,,Đất thổ cư,,Mặt tiền,,1000000000.0
88825264,1635904118486,Đất,Thị trấn Long Thành,Huyện Long Thành,Đồng Nai,"Đường Lê Duẩn, Thị trấn Long Thành, Huyện Long Thành, Đồng Nai",,"4,85 triệu/m2",,,Đã có sổ,9286 m2,,,,,,,,,,46 m,200 m,Đất thổ cư,,Mặt tiền,,45000000000.0
89121847,1635904055973,Đất,Thị trấn Vĩnh An,Huyện Vĩnh Cửu,Đồng Nai,"Đường Tỉnh lộ 762, Thị trấn Vĩnh An, Huyện Vĩnh Cửu, Đồng Nai",,"2,3 triệu/m2",Nam,,Đã có sổ,892 m2,,,,,,,,,,22.3 m,40 m,Đất thổ cư,Hẻm xe hơi,Mặt tiền,Nở hậu,2050000000.0
89188629,1635903992425,Đất,Xã Thạnh Phú,Huyện Vĩnh Cửu,Đồng Nai,"Đường Hương Lộ 6, Xã Thạnh Phú, Huyện Vĩnh Cửu, Đồng Nai",,"4,22 triệu/m2",,,Giấy tờ khác,90 m2,,,,,,,,,,,,Đất nông nghiệp,Hẻm xe hơi,,,380000000.0
89245951,1635903989000,Đất,Xã Bàu Trâm,Thành phố Long Khánh,Đồng Nai,"Đường Điểu Xiển, Xã Bàu Trâm, Thành phố Long Khánh, Đồng Nai",,9.200 đ/m2,,,,100 m2,,,,,,,,,,5 m,20 m,Đất thổ cư,,,,920000.0
89220731,1635903967775,Đất,Xã La Ngà,Huyện Định Quán,Đồng Nai,"Đường 101, Xã La Ngà, Huyện Định Quán, Đồng Nai",,1 triệu/m2,,,Đã có sổ,1000 m2,,,,,,,,,,15 m,67 m,Đất thổ cư,,,Nở hậu,1000000000.0
89234462,1635903925890,Đất,Xã Thanh Bình,Huyện Trảng Bom,Đồng Nai,"lợi hà, Xã Thanh Bình, Huyện Trảng Bom, Đồng Nai",,950.000 đ/m2,,,Đã có sổ,1000 m2,,,,,,,,,,33 m,33 m,Đất nông nghiệp,,,,950000000.0
88581541,1635903919785,Đất,Phường Tân Hạnh,Thành phố Biên Hòa,Đồng Nai,"Đường Phạm Văn Diêu, Phường Tân Hạnh, Thành phố Biên Hòa, Đồng Nai",,"23,53 triệu/m2",Đông Bắc,,Đã có sổ,85 m2,,,,,,,,,,4 m,22 m,Đất thổ cư,Hẻm xe hơi,Mặt tiền,Nở hậu,2000000000.0
89037434,1635903746580,Đất,Xã Lộc An,Huyện Long Thành,Đồng Nai,"Đường ĐT 769, Xã Lộc An, Huyện Long Thành, Đồng Nai",,18 triệu/m2,Đông Nam,,Đã có sổ,100 m2,,,,,,,,,,5 m,20 m,Đất thổ cư,,Mặt tiền,,1800000000.0
88671384,1635903278984,Đất,Xã Trung Hoà,Huyện Trảng Bom,Đồng Nai,"99, Đường Quốc lộ 1A, Xã Trung Hoà, Huyện Trảng Bom, Đồng Nai",,"1,39 triệu/m2",,,Đã có sổ,100 m2,,,,,,,,,,5 m,20 m,Đất nông nghiệp,,Mặt tiền,,139000000.0
89093006,1635903227710,Đất,Xã Bình Sơn,Huyện Long Thành,Đồng Nai,"ĐT769, Xã Bình Sơn, Huyện Long Thành, Đồng Nai",,20 triệu/m2,,,Đã có sổ,120 m2,,,,,,,,,,,,Đất nền dự án,,,,2400000000.0
89245491,1635903183000,Đất,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,"Đường Phùng Hưng, Xã An Viễn, Huyện Trảng Bom, Đồng Nai",,"5,7 triệu/m2",,,Đã có sổ,158 m2,,,,,,,,,,7 m,20 m,Đất thổ cư,,Mặt tiền,,900000000.0
87095384,1635903084393,Đất,Phường Phước Tân,Thành phố Biên Hòa,Đồng Nai,"Đường Quốc Lộ 51, Xã Phước Tân, Biên Hòa, Đồng Nai, Phường Phước Tân, Thành phố Biên Hòa, Đồng Nai",,33.333 đ/m2,,,Đã có sổ,600 m2,,,,,,,,,,20 m,30 m,Đất thổ cư,,Mặt tiền,,20000000.0
89151534,1635902947422,Đất,Xã La Ngà,Huyện Định Quán,Đồng Nai,"60, Đường 101, Xã La Ngà, Huyện Định Quán, Đồng Nai",,42.253 đ/m2,,,Đã có sổ,71000 m2,,,,,,,,,,100 m,500 m,Đất thổ cư,Hẻm xe hơi,Mặt tiền,,3000000000.0
89228034,1635902897203,Đất,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,"Đường Phùng Hưng, Xã An Viễn, Huyện Trảng Bom, Đồng Nai",,"4,33 triệu/m2",,,Đã có sổ,120 m2,,,,,,,,,,,,Đất nền dự án,Hẻm xe hơi,Mặt tiền,,520000000.0
88918727,1635902783667,Đất,Xã Phú Hội,Huyện Nhơn Trạch,Đồng Nai,"Đường 25C, Xã Phú Hội, Huyện Nhơn Trạch, Đồng Nai",,"12,22 triệu/m2",,,Đang chờ sổ,90 m2,,,,,,,,,,5 m,18 m,Đất nền dự án,,Mặt tiền,,1100000000.0
89217823,1635902724292,Đất,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,"Đường Phùng Hưng, Xã An Viễn, Huyện Trảng Bom, Đồng Nai",,"8,13 triệu/m2",,,Đã có sổ,80 m2,,,,,,,,,,5 m,16 m,Đất thổ cư,Hẻm xe hơi,Mặt tiền,,650000000.0
87693728,1635902640718,Đất,Phường Tam Hòa,Thành phố Biên Hòa,Đồng Nai,"Đường Phạm Văn Thuận, Phường Tam Hòa, Thành phố Biên Hòa, Đồng Nai",,"1,24 triệu/m2",Đông Nam,,Đã có sổ,110 m2,,,,,,,,,,5 m,22 m,Đất công nghiệp,Hẻm xe hơi,Mặt tiền,Nở hậu,136000000.0
89109409,1635902578566,Đất,Xã Bình Sơn,Huyện Long Thành,Đồng Nai,"Đường ĐT 769, Xã Bình Sơn, Huyện Long Thành, Đồng Nai",,"16,67 triệu/m2",Đông,,Đã có sổ,120 m2,,,,,,,,,,6 m,20 m,Đất nền dự án,,,,2000000000.0
89245109,1635902512000,Đất,Xã Bình Sơn,Huyện Long Thành,Đồng Nai,"Đường Tỉnh lộ 769, Xã Bình Sơn, Huyện Long Thành, Đồng Nai",,"15,17 triệu/m2",,,Đã có sổ,120 m2,,,,,,,,,,5 m,24 m,Đất thổ cư,Hẻm xe hơi,Mặt tiền,,1820000000.0
