id,list_time,type_real_estate,ward,area,region,address,property_status,price_m2,direction,balconydirection,property_legal_document,size,floornumber,apartment_type,furnishing_sell,apartment_feature,rooms,toilets,floors,house_type,living_size,width,length,land_type,property_road_condition,land_feature,property_back_condition,price
88457565,1633589544000.0,Nhà ở,Phường Tân Phước Khánh,Thị xã Tân Uyên,Bình Dương,"lk9, Đường Tân Phước, Phường Tân Phước Khánh, Thị xã Tân Uyên, Bình Dương",,40 triệu/m²,Tây,,Đã có sổ,60 m²,,,Nội thất đầy đủ,,3 phòng,2 phòng,2,Nhà phố liền kề,120 m²,6 m,10 m,,Hẻm xe hơi,,,2400000000.0
88457434,1633589320000.0,Nhà ở,Phường Khánh Bình,Thị xã Tân Uyên,Bình Dương,"Đường 418, Phường Khánh Bình, Thị xã Tân Uyên, Bình Dương",,"18,8 triệu/m²",,,Đã có sổ,125 m²,,,,,2 phòng,1 phòng,,Nhà mặt phố,125 m²,5 m,25 m,,Hẻm xe hơi,,,2350000000.0
88456477,1633588001000.0,Nhà ở,Phường Bình Thắng,Thị xã Dĩ An,Bình Dương,"Đường Trung Thắng, Phường Bình Thắng, Thị xã Dĩ An, Bình Dương",,"26,25 triệu/m²",,,Đã có sổ,160 m²,,,Bàn giao thô,,2 phòng,2 phòng,,Nhà ngõ,100 m²,5 m,132 m,,,,,4200000000.0
88456402,1633587893000.0,Nhà ở,Phường Thái Hòa,Thị xã Tân Uyên,Bình Dương,"đường DT 747B, Phường Thái Hòa, Thị xã Tân Uyên, Bình Dương",,"18,89 triệu/m²",,,Giấy tờ khác,36 m²,,,,,1 phòng,1 phòng,,Nhà mặt phố,36 m²,6 m,5.5 m,,,,,680000000.0
88456273,1633587719000.0,Nhà ở,Phường Tân Bình,Thị xã Dĩ An,Bình Dương,"số nhà 77, Đường N5 Khu Dịch Vụ Tân Bình Bicosi Khu Phố Tân Thắng, Phường Tân Bình, Thị xã Dĩ An, Bình Dương",,"38,64 triệu/m²",Đông Nam,,Đã có sổ,132 m²,,,,,2 phòng,1 phòng,,Nhà mặt phố,132 m²,5 m,27 m,,,,,5100000000.0
88456018,1633587413000.0,Nhà ở,Phường Chánh Nghĩa,Thành phố Thủ Dầu Một,Bình Dương,"Đường 30/4, Phường Chánh Nghĩa, Thành phố Thủ Dầu Một, Bình Dương",,"36,64 triệu/m²",,,Đã có sổ,131 m²,,,Nội thất đầy đủ,,2 phòng,1 phòng,1,Nhà ngõ,131 m²,6 m,22 m,,Hẻm xe hơi,,Nở hậu,4800000000.0
87520608,1633587390861.0,Nhà ở,Phường Bình Chuẩn,Thành phố Thuận An,Bình Dương,"bình chuẩn 64, Phường Bình Chuẩn, Thành phố Thuận An, Bình Dương",,"19,29 triệu/m²",,,Giấy tờ khác,70 m²,,,,,3 phòng,2 phòng,,Nhà mặt phố,100 m²,4 m,17.5 m,,Hẻm xe hơi,,,1350000000.0
88455722,1633586961000.0,Nhà ở,Phường Thới Hòa,Thị xã Bến Cát,Bình Dương,"R8, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",,"23,5 triệu/m²",,,Đã có sổ,100 m²,,,Nội thất đầy đủ,,3 phòng,3 phòng,,Nhà mặt phố,100 m²,5 m,20 m,,Hẻm xe hơi,,,2350000000.0
84517408,1633583793635.0,Nhà ở,Phường Bình Chuẩn,Thành phố Thuận An,Bình Dương,"dt743, Phường Bình Chuẩn, Thành phố Thuận An, Bình Dương",,"19,79 triệu/m²",,,Giấy tờ khác,48 m²,,,,,2 phòng,2 phòng,,Nhà mặt phố,96 m²,4 m,12 m,,Hẻm xe hơi,,,950000000.0
87526653,1633581833205.0,Nhà ở,Phường Bình Chuẩn,Thành phố Thuận An,Bình Dương,"Đường ĐT 743, Phường Bình Chuẩn, Thành phố Thuận An, Bình Dương",,"13,75 triệu/m²",,,Giấy tờ khác,64 m²,,,,,3 phòng,2 phòng,2,Nhà mặt phố,64 m²,4 m,16 m,,Hẻm xe hơi,,,880000000.0
88452517,1633581277000.0,Nhà ở,Phường Thới Hòa,Thị xã Bến Cát,Bình Dương,"Đường H4, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",,"18,6 triệu/m²",Tây,,Đã có sổ,100 m²,,,,,5 phòng,5 phòng,,Nhà mặt phố,100 m²,5 m,20 m,,,,,1860000000.0
88452413,1633581116000.0,Nhà ở,Phường Lái Thiêu,Thành phố Thuận An,Bình Dương,"Lái Thiêu, Phường Lái Thiêu, Thành phố Thuận An, Bình Dương",,"55,33 triệu/m²",Đông Bắc,,Đã có sổ,30.9 m²,,,Hoàn thiện cơ bản,,2 phòng,2 phòng,,Nhà ngõ,60 m²,3.2 m,10 m,,Hẻm xe hơi,,,1660000000.0
88452090,1633580652000.0,Nhà ở,Phường Đông Hòa,Thị xã Dĩ An,Bình Dương,"Đường Đào Duy Từ, Phường Đông Hòa, Thị xã Dĩ An, Bình Dương",,"42,52 triệu/m²",,,Đã có sổ,107 m²,,,,,4 phòng,3 phòng,,Nhà ngõ,65 m²,5 m,,,Hẻm xe hơi,,,4550000000.0
88451669,1633579982000.0,Nhà ở,Phường Bình Hòa,Thành phố Thuận An,Bình Dương,"68, Đường Bình Hòa 1, Phường Bình Hòa, Thành phố Thuận An, Bình Dương",,"34,44 triệu/m²",Đông,,Đã có sổ,180 m²,,,,,2 phòng,2 phòng,,Nhà ngõ,180 m²,48 m,10 m,,Hẻm xe hơi,,,6200000000.0
87126624,1633579211905.0,Nhà ở,Phường Chánh Nghĩa,Thành phố Thủ Dầu Một,Bình Dương,"bờ kè, Phường Chánh Nghĩa, Thành phố Thủ Dầu Một, Bình Dương",,"31,78 triệu/m²",Bắc,,Đã có sổ,45.5 m²,,,Nội thất đầy đủ,,1 phòng,1 phòng,,Nhà ngõ,45 m²,8 m,6 m,,Hẻm xe hơi,,,1430000000.0
88450958,1633578731000.0,Nhà ở,Xã Vĩnh Tân,Thị xã Tân Uyên,Bình Dương,"Đường Dân Chủ, Xã Vĩnh Tân, Thị xã Tân Uyên, Bình Dương",,27 triệu/m²,,,Đã có sổ,100 m²,,,,,3 phòng,3 phòng,,Nhà phố liền kề,157 m²,5 m,20 m,,,,,2700000000.0
88428868,1633578076814.0,Nhà ở,Phường Tân Đông Hiệp,Thị xã Dĩ An,Bình Dương,"Đường ĐT 743, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương",,"27,22 triệu/m²",Nam,,Giấy tờ khác,36 m²,,,Nội thất đầy đủ,,2 phòng,2 phòng,2,Nhà phố liền kề,72 m²,4 m,9 m,,Hẻm xe hơi,,,980000000.0
88450224,1633577647000.0,Nhà ở,Phường Phú Mỹ,Thành phố Thủ Dầu Một,Bình Dương,"Đx 006, Phường Phú Mỹ, Thành phố Thủ Dầu Một, Bình Dương",,"31,25 triệu/m²",,,Đã có sổ,80 m²,,,,,2 phòng,2 phòng,,Nhà ngõ,80 m²,5 m,,,Hẻm xe hơi,,,2500000000.0
88449816,1633577029000.0,Nhà ở,Phường Tân Đông Hiệp,Thị xã Dĩ An,Bình Dương,"Nguyễn Thị Chạy, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương",,"34,26 triệu/m²",Tây Bắc,,Đang chờ sổ,35 m²,,,,,2 phòng,2 phòng,2,Nhà ngõ,70 m²,4 m,9 m,,Hẻm xe hơi,,Nở hậu,1199000000.0
