city,date,direction,district,floors,front_road,id,length,price,property_legal_document,rooms,size,type_adv,type_real_estate,ward,width
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Gò Vấp,2,10m,9317843,22m," 9,4 tỷ ",---,6, 100 m,Cần bán,Nhà trong hẻm,Phường 17,"5,1m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Gò Vấp,3,4m,9319301,---," 6,9 tỷ ",---,4, 62 m,Cần bán,Nhà trong hẻm,Phường 6,---
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 1,1,30m,9313975,---, 65 tỷ ,---,5, 160 m,Cần bán,Nhà mặt tiền,Phường Cô Giang,---
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 2,---,20m,9319305,---," 23,5 tỷ ",---,---, 130 m,Cần bán,Nhà mặt tiền,Phường Thảo Điền,---
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 7,3,6m,9131929,13m," 11,5 tỷ ",Sổ hồng/ Sổ đỏ,4, 98 m,Cần bán,"Biệt thự, nhà liền kề",Phường Phú Thuận,"7,5m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Tân Bình,3,10m,9319313,---," 15,5 tỷ ",---,---, 81 m,Cần bán,Nhà mặt tiền,Phường 12,---
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 3,2,20m,9319554,15m, 36 tỷ ,Sổ hồng/ Sổ đỏ,---, 84 m,Cần bán,Nhà mặt tiền,Phường 5,"5,6m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 12,2,5m,9319330,13m," 2,43 tỷ ",Sổ hồng/ Sổ đỏ,4, 40 m,Cần bán,Nhà trong hẻm,Phường Hiệp Thành,"3,6m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 3,2,7m,9315183,13m," 7,7 tỷ ",---,3, 46 m,Cần bán,Nhà trong hẻm,Phường 4,35m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 2,3,20m,9319341,---, 22 tỷ ,---,8, 68 m,Cần bán,Nhà mặt tiền,Phường Thảo Điền,---
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 7,3,8m,9319352,---," 2,5 tỷ ",Sổ hồng/ Sổ đỏ,4, 45 m,Cần bán,Nhà mặt tiền, Đường Lê Văn Lương,---
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 9,---,12m,9296337,20m," 4,5 tỷ ",Giấy tờ hợp lệ,---, 100 m,Cần bán,"Đất thổ cư, đất ở",Phường Phước Long A,5m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,1,5m,9317481,---," 12,9 tỷ ",---,3, 122 m,Cần bán,Nhà trong hẻm,Phường 17,---
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Tân Bình,3,20m,9317485,20m," 43,5 tỷ ",---,8, 160 m,Cần bán,Nhà mặt tiền,Phường 1,8m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Tân Bình,5,10m,9317491,15m, 15 tỷ ,Sổ hồng/ Sổ đỏ,5, 75 m,Cần bán,Nhà mặt tiền,Phường 2,5m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 7,12,---,9152577,---," 2,65 tỷ ",---,2, 66 m,Cần bán,Căn hộ chung cư,Phường Phú Mỹ,---
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Tân,2,5m,9315010,7m," 2,47 tỷ ",Sổ hồng/ Sổ đỏ,3, 90 m,Cần bán,Nhà trong hẻm,Phường Tân Tạo,4m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Tân,3,5m,9317499,13m, 48 tỷ ,Sổ hồng/ Sổ đỏ,4, 66 m,Cần bán,Nhà trong hẻm,Phường Tân Tạo,5m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Tân,---,12m,9317509,15m," 1,99 tỷ ",Sổ hồng/ Sổ đỏ,---, 75 m,Cần bán,"Đất thổ cư, đất ở",Phường Tân Tạo,5m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 7,---,6m,9316926,35m," 1,9 tỷ ",Sổ hồng/ Sổ đỏ,---, 1.000 m,Cần bán,"Đất thổ cư, đất ở",Phường Phú Mỹ,33m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 4,2,3m,9292391,"9,5m"," 2,6 tỷ ",Sổ hồng/ Sổ đỏ,3, 62 m,Cần bán,Nhà trong hẻm, Phường 18,"3,5m"
Hồ Chí Minh,Ngày đăng: 08/09/2021,_,Thành phố Thủ Đức,3,30m,5316939,21m," 39,5 tỷ ",---,---, 168 m,Cần bán,Nhà mặt tiền,Phường Bình Thọ,8m
